Track,Total_Participants,NPS_Score,Promoters,Detractors,Passives,Top_Sessions
EXEC,14,71.42857142857143,10,0,4,"{'Day 1, Session 3: Data as the Fuel: AI Data Strategy & Governance': 6, 'Day 3, Session1: Measuring AI Value: Beyond Traditional ROI & Ethical AI: Principles, Risks & Regulatory Compliance': 6, 'Day 2, Session 3: Transforming Vision into Action Part 1: Business Impact Framework': 3, 'Day 3, Session 2: Navigating the AI Ecosystem: Build, Buy, or Partner': 3, 'Day 3, Session 3: Capstone Workshop: Developing Your Strategic AI Action plan': 2}"
PROD,18,55.55555555555554,12,2,4,"{'Day 1, Session 4: AI for Creativity & Marketing': 8, 'Day 3, Session 1: AI in the Workplace: What’s Changing? Discussion': 7, 'Day 1, Session 1: AI 101 Without the Tech Talk': 4, 'Day 2, Session 4: Staying Safe with AI: Privacy, Trust & Limits': 4, 'Day 2, Session 1: Lead with AI: Save Time with Workflows': 4}"
DEV,22,54.54545454545455,13,1,8,"{'Day 3, Session 2&3: End-to-End LLM Application Development and coding agent': 15, 'Day 2, Session 3: Building RAG system with local LLM': 8, 'Day 2, Session 4: N8n / cybersecurity framework / LLM guard': 5, 'Day 2, Session 2: Agentic AI from Notebook to Production': 5, 'Day 3, Session 1: Building applications using coding agents': 4}"
